El Dr. Robert Cade, era un gran fan de los deportes ¿Cuál era su equipo de beisbol favorito?|First in thirst (p. 11)
¿Qué jugador de los Greenbay Packers declaró alguna vez que si los Packers dejaban de comprar Gatorade para todo el equipo, él lo seguiría comprando de su propio bolsillo?|First in thirst (p. 51)
¿Cuál es el nombre del basquetbolista cuya silueta forma parte del logo de la NBA y que alguna vez dijo sobre Gatorade “me gusta tomarlo como loco durante los juegos”?|First in thirst (p. 54)
¿Qué diario nombró a Gatorade como “Una de las mejores marcas del siglo XX”?|First in thirst (p.4)
¿A qué equipo vencieron los NY Giants cuando Jim Burt bañó por primera vez a su entrenador con Gatorade, inventando una celebración que ahora se replica por todo el mundo?|First in thirst (p. 78)
¿Qué presidente de los EEUU recibió, como regalo por su 76 aniversario, una caricatura en donde aparecía él mismo siendo bañado con Gatorade?|First in thirst (p. 82)
¿Cuál fue la primera presentación con la que Gatorade® se comercializó al público en general?|First in thirst (p. 48)
¿Cuántos equipos diferentes han sido campeones en la historia del Super Bowl?|NFL.com
¿Cuál fue el tercer equipo en ganar un Super Bowl tras haber entrado a los playoffs como Wild card?|http://wallstcheatsheet.com/stocks/6-wild-card-teams-that-won-the- super-bowl.html/?a=viewall
¿Cuál de los siguientes equipos ha ganado todos los Super Bowls en los que ha participado?|NFL.com
¿Quién era el entrenador del equipo que perdió el Super Bowl I?|http://espn.go.com/nfl/story/_/page/greatestcoach16/greatest- coaches-nfl-history-hank-stram
¿Quién fue el primer jugador defensivo en ser nombrado el “Jugador más valioso” en un Super Bowl?|http://www.nfl.com/superbowl/history/mvp/sbv
¿Quién fue el primer jugador nombrado “Jugador más valioso”, a pesar de que su equipo perdió el Super Bowl?|http://www.nfl.com/superbowl/history/mvp/sbv
¿Quién fue el segundo jugador en ganar el título de “Jugador más valioso del Super Bowl” durante 2 años consecutivos?|NFL.com
¿Cuál de los siguientes equipos nunca ha jugado un Super Bowl?|NFL.com
¿Qué jugador ha ganado más Super Bowls en la historia de la NFL?|http://www.cbssports.com/nfl/eye-on-football/24410957/the-hof- case-for-charles-haley-five-rings-might-not-be-enough
¿Quién fue el primer mariscal de campo afroamericano en ganar un Super Bowl?|http://www.dougwilliams17.com/bio.html
¿Cuál de los siguientes equipos ha jugado menos veces el Super Bowl?|NFL.com
¿Cuál fue el primer Super Bowl en el que jugaron los Denver Broncos?|NFL.com
¿Cuál fue el tercer Super Bowl que ganaron los Dallas Cowboys?|NFL.com
¿Quién fue el primer entrenador en el mundo deportivo en recibir un baño de Gatorade como celebración de una victoria?|First in thirst (p.78)
¿Cuántos touchdowns anotó Terrel Davis en el Super Bowl XXXII, disputado entre los Denver Brocos y los Green Bay Packers?|http://www.nfl.com/superbowl/history/recap/sbxxxii
¿Cuántos puntos fueron anotados durante el último cuarto del Super Bowl XXXVIII, disputado entre New England Patriots y Carolina Panthers?|http://www.nfl.com/superbowl/history/recap/sbxxxviii
¿Cuál fue el primer Super Bowl en llegar al medio tiempo con el marcador empatado?|http://www.nfl.com/superbowl/history/recap/sbxxiii
Un apagón alargó el Super Bowl XLVII, convirtiéndolo en el Super Bowl de más larga duración ¿Cuánto tiempo duró?|http://www.nfl.com/gamecenter/2013020300/2012/POST22/ravens@49ers#men u=gameinfo&tab=recap&recap=fullstory
¿Cuántos pases completó Mark Rypien para convertirse en el “Jugador más valioso” del Super Bowl XXVI?|http://www.nfl.com/superbowl/history/recap/sbxxvi
En los últimos momentos del Super Bowl XXXVI Adam Vinatieri anotó el gol de campo que le dio la victoria a los Patriots ¿De cuántas yardas fue ese gol de campo?|http://www.nfl.com/superbowl/history/recap/sbxxxvi
¿Cuántos pases que terminaron en Touchdown, lanzó Joe Montana durante el Super Bowl XXIV?|http://www.nfl.com/superbowl/history/recap/sbxxiv
¿Cuántos pases le interceptó la defensa de los Patriots al mariscal de campo de los Packers, Brett Favre, en el Super Bowl XXXI?|http://www.nfl.com/superbowl/history/recap/sbxxxi
Gatorade ayudó a los Buccaneers a ganar el Super Bowl XXXVIII ¿Cuántos de los pases que interceptó la defensa de los Buccaneers en ese Super Bowl, se convirtieron en touchdown?|http://www.nfl.com/superbowl/history/recap/sbxxxvii
